"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","symbol","chr","start","end","strand","biotype","description"
"802","ENSG00000152583",954.770931565544,4.36835896013968,0.23713647596865,18.4212864861718,8.8670794346976e-76,1.34291918038495e-71,8404,"SPARCL1","4",87473335,87531061,-1,"protein_coding","SPARC-like 1 (hevin) [Source:HGNC Symbol;Acc:HGNC:11220]"
"1166","ENSG00000179094",743.252688449073,2.86388846357861,0.175558247953972,16.3130385325414,7.97262134992185e-60,6.03726751722832e-56,5187,"PER1","17",8140472,8156506,-1,"protein_coding","period circadian clock 1 [Source:HGNC Symbol;Acc:HGNC:8845]"
"414","ENSG00000116584",2277.91345410747,-1.03469996009258,0.0650527327805754,-15.9055571667165,5.79851322775862e-57,2.92728276114681e-53,9181,"ARHGEF2","1",155946851,156007070,-1,"protein_coding","Rho/Rac guanine nucleotide exchange factor (GEF) 2 [Source:HGNC Symbol;Acc:HGNC:682]"
"1269","ENSG00000189221",2383.75370672631,3.34154414769681,0.212415079829302,15.7312002066054,9.24420637913705e-56,3.50008764030077e-52,4128,"MAOA","X",43654907,43746824,1,"protein_coding","monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]"
"444","ENSG00000120129",3440.70375496308,2.96521084247013,0.203702766041034,14.5565565951756,5.30641629720452e-48,1.60731349642325e-44,1843,"DUSP1","5",172768090,172771195,-1,"protein_coding","dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]"
"762","ENSG00000148175",13493.9203682606,1.42716831224683,0.10036662994392,14.2195499942985,6.9297111383295e-46,1.7491745865e-42,2040,"STOM","9",121338988,121370304,-1,"protein_coding","stomatin [Source:HGNC Symbol;Acc:HGNC:3383]"
"1164","ENSG00000178695",2685.40973562001,-2.48906888705332,0.178064072083058,-13.9785014345415,2.10881707076937e-44,4.5625763624003e-41,115207,"KCTD12","13",76880166,76886390,-1,"protein_coding","potassium channel tetramerization domain containing 12 [Source:HGNC Symbol;Acc:HGNC:14678]"
"344","ENSG00000109906",439.541520915421,5.92759504591393,0.42819441511604,13.8432329723581,1.39775824265181e-43,2.64613107312021e-40,7704,"ZBTB16","11",114059593,114250676,1,"protein_coding","zinc finger and BTB domain containing 16 [Source:HGNC Symbol;Acc:HGNC:12930]"
"588","ENSG00000134686",2933.64246142684,1.43948979386216,0.105827294041564,13.6022545686257,3.88276952300719e-42,6.53383826954932e-39,1912,"PHC2","1",33323623,33431052,-1,"protein_coding","polyhomeotic homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:3183]"
"235","ENSG00000101347",14134.9917673153,3.85041430472507,0.284907007914738,13.5146352941847,1.28189390862811e-41,1.94142832461727e-38,25939,"SAMHD1","20",36890229,36951843,-1,"protein_coding","SAM domain and HD domain 1 [Source:HGNC Symbol;Acc:HGNC:15925]"
"193","ENSG00000096060",2630.23049426017,3.94505236260224,0.29291820918056,13.4681021491922,2.40980691861566e-41,3.31786598022129e-38,2289,"FKBP5","6",35573585,35728583,-1,"protein_coding","FK506 binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3721]"
"994","ENSG00000166741",7542.25286980186,2.21959059968604,0.166735440884393,13.312050442983,1.97000025559046e-40,2.48630448924313e-37,4837,"NNMT","11",114257787,114313285,1,"protein_coding","nicotinamide N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:7861]"
"487","ENSG00000125148",3695.87946177106,2.19856358442964,0.167005463035293,13.1646207523464,1.40240044449204e-39,1.63379651783322e-36,4502,"MT2A","16",56608199,56609497,1,"protein_coding","metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]"
"900","ENSG00000162614",5646.18313812309,1.97114015620688,0.150206309648055,13.1228851892135,2.43485420992076e-39,2.63399050066071e-36,91624,"NEXN","1",77888513,77943895,1,"protein_coding","nexilin (F actin binding protein) [Source:HGNC Symbol;Acc:HGNC:29557]"
"311","ENSG00000106976",989.046833637733,-1.85017129092681,0.147786569869869,-12.5192112690344,5.86147081543719e-36,5.91813169998642e-33,1759,"DNM1","9",128203352,128255248,1,"protein_coding","dynamin 1 [Source:HGNC Symbol;Acc:HGNC:2972]"
"1252","ENSG00000187193",199.07693798836,3.25514240670262,0.260907114096487,12.4762500937358,1.0061463328921e-35,9.52380388228181e-33,4501,"MT1X","16",56682424,56684196,1,"protein_coding","metallothionein 1X [Source:HGNC Symbol;Acc:HGNC:7405]"
"1415","ENSG00000256235",1123.47954131474,1.28011925479435,0.105474383008164,12.1367787920151,6.74286163277805e-34,6.00709643696609e-31,85027,"SMIM3","5",150777946,150796734,1,"protein_coding","small integral membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:30248]"
"1157","ENSG00000177666",2639.57019969705,1.13999472385162,0.0960688393718987,11.8664358943539,1.7684218323462e-32,1.48793048060462e-29,57104,"PNPLA2","11",818902,825573,1,"protein_coding","patatin-like phospholipase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30802]"
"940","ENSG00000164125",7257.00808055341,1.02485232691722,0.0865760043196164,11.8376025201363,2.49482990080224e-32,1.98864204461315e-29,51313,"FAM198B","4",158124474,158173318,-1,"protein_coding","family with sequence similarity 198, member B [Source:HGNC Symbol;Acc:HGNC:25312]"
"1327","ENSG00000198624",2020.04495478061,2.81410138435384,0.240634293347145,11.6945151300366,1.35961506012761e-31,1.02956850428163e-28,26112,"CCDC69","5",151181052,151224145,-1,"protein_coding","coiled-coil domain containing 69 [Source:HGNC Symbol;Acc:HGNC:24487]"
"472","ENSG00000123562",5008.55293511073,1.00454532355927,0.0890150093882237,11.2851229299783,1.55424146319688e-29,1.12090414095794e-26,9643,"MORF4L2","X",103675496,103688158,-1,"protein_coding","mortality factor 4 like 2 [Source:HGNC Symbol;Acc:HGNC:16849]"
"720","ENSG00000144369",1283.77979687001,-1.30900413721804,0.117148631904916,-11.1738747259165,5.47397378395846e-29,3.76833331627504e-26,165215,"FAM171B","2",186693971,186765965,1,"protein_coding","family with sequence similarity 171, member B [Source:HGNC Symbol;Acc:HGNC:29412]"
"1286","ENSG00000196517",241.91536257078,-2.34568773034125,0.21047366285388,-11.1448040507079,7.591120099444e-29,4.99858756113389e-26,6536,"SLC6A9","1",43991500,44031467,-1,"protein_coding","solute carrier family 6 (neurotransmitter transporter, glycine), member 9 [Source:HGNC Symbol;Acc:HGNC:11056]"
